SMILES,Molecule Name,Molecular Formula,Bond Information,Functional Groups,Atom Information,Symmetry,Planarity,Molecular weight,PiPi Stacking Potential,Energetics,ESP,oxygen_balance,Heat of formation,NO2 Count,NH2 Count,H Count
CN1CCC(=C2C3=C(C(=O)CC4=CC=CC=C42)SC=C3)CC1,CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1,C19H19NOS,"0-1 (SINGLE), 1-2 (SINGLE), 2-3 (SINGLE), 3-4 (SINGLE), 4-5 (DOUBLE), 5-6 (SINGLE), 6-7 (AROMATIC), 7-8 (SINGLE), 8-9 (DOUBLE), 8-10 (SINGLE), 10-11 (SINGLE), 11-12 (AROMATIC), 12-13 (AROMATIC), 13-14 (AROMATIC), 14-15 (AROMATIC), 15-16 (AROMATIC), 7-17 (AROMATIC), 17-18 (AROMATIC), 18-19 (AROMATIC), 4-20 (SINGLE), 20-21 (SINGLE), 21-1 (SINGLE), 16-5 (SINGLE), 19-6 (AROMATIC), 16-11 (AROMATIC)","Alkane, Alkene, Aromatic","0: C, 1: N, 2: C, 3: C, 4: C, 5: C, 6: C, 7: C, 8: C, 9: O, 10: C, 11: C, 12: C, 13: C, 14: C, 15: C, 16: C, 17: S, 18: C, 19: C, 20: C, 21: C",Non-symmetric,Non-Planar,309.434,1237.736,No,-2.91433543964104E-16,-94.8292689232599,747,0,0,0
CCCCC(=O)O,CCCCC(=O)O,C5H10O2,"0-1 (SINGLE), 1-2 (SINGLE), 2-3 (SINGLE), 3-4 (SINGLE), 4-5 (DOUBLE), 4-6 (SINGLE)",Alkane,"0: C, 1: C, 2: C, 3: C, 4: C, 5: O, 6: O",Symmetric,Planar,102.133,0,No,1.11022302462516E-16,-68.6683050532149,0,0,0,0
C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,C22H17ClN2,"0-1 (AROMATIC), 1-2 (AROMATIC), 2-3 (AROMATIC), 3-4 (AROMATIC), 4-5 (AROMATIC), 3-6 (SINGLE), 6-7 (SINGLE), 7-8 (AROMATIC), 8-9 (AROMATIC), 9-10 (AROMATIC), 10-11 (AROMATIC), 11-12 (AROMATIC), 6-13 (SINGLE), 13-14 (AROMATIC), 14-15 (AROMATIC), 15-16 (AROMATIC), 16-17 (AROMATIC), 17-18 (AROMATIC), 18-19 (SINGLE), 6-20 (SINGLE), 20-21 (AROMATIC), 21-22 (AROMATIC), 22-23 (AROMATIC), 23-24 (AROMATIC), 5-0 (AROMATIC), 12-7 (AROMATIC), 18-13 (AROMATIC), 24-20 (AROMATIC)","Alkane, Aromatic","0: C, 1: C, 2: C, 3: C, 4: C, 5: C, 6: C, 7: C, 8: C, 9: C, 10: C, 11: C, 12: C, 13: C, 14: C, 15: C, 16: C, 17: C, 18: C, 19: Cl, 20: N, 21: C, 22: C, 23: N, 24: C",Non-symmetric,Planar,344.845,1379.38,No,1.2490009027033E-16,-100,944,0,0,0
C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,C13H12F2N6O,"0-1 (AROMATIC), 1-2 (AROMATIC), 2-3 (AROMATIC), 3-4 (AROMATIC), 4-5 (AROMATIC), 5-6 (SINGLE), 3-7 (SINGLE), 2-8 (SINGLE), 8-9 (SINGLE), 9-10 (SINGLE), 10-11 (AROMATIC), 11-12 (AROMATIC), 12-13 (AROMATIC), 13-14 (AROMATIC), 8-15 (SINGLE), 15-16 (SINGLE), 16-17 (AROMATIC), 17-18 (AROMATIC), 18-19 (AROMATIC), 19-20 (AROMATIC), 8-21 (SINGLE), 5-0 (AROMATIC), 14-10 (AROMATIC), 20-16 (AROMATIC)","Alkane, Aromatic","0: C, 1: C, 2: C, 3: C, 4: C, 5: C, 6: F, 7: F, 8: C, 9: C, 10: N, 11: C, 12: N, 13: C, 14: N, 15: C, 16: N, 17: C, 18: N, 19: C, 20: N, 21: O",Non-symmetric,Planar,306.276,918.828,No,0,-94.7759537149499,2832,0,0,0
CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C\C(=O)O)/C)/C,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1,C20H28O2,"0-1 (SINGLE), 1-2 (DOUBLE), 2-3 (SINGLE), 3-4 (SINGLE), 4-5 (SINGLE), 5-6 (SINGLE), 3-7 (SINGLE), 3-8 (SINGLE), 2-9 (SINGLE), 9-10 (DOUBLE), 10-11 (SINGLE), 11-12 (DOUBLE), 12-13 (SINGLE), 13-14 (DOUBLE), 14-15 (SINGLE), 15-16 (DOUBLE), 16-17 (SINGLE), 17-18 (DOUBLE), 17-19 (SINGLE), 15-20 (SINGLE), 11-21 (SINGLE), 6-1 (SINGLE)","Alkane, Alkene","0: C, 1: C, 2: C, 3: C, 4: C, 5: C, 6: C, 7: C, 8: C, 9: C, 10: C, 11: C, 12: C, 13: C, 14: C, 15: C, 16: C, 17: C, 18: O, 19: O, 20: C, 21: C",Non-symmetric,Non-Planar,300.442,300.442,No,2.84494650060196E-16,-89.3490257687008,0,0,0,0
CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,C20H21FN2O,"0-1 (SINGLE), 1-2 (SINGLE), 1-3 (SINGLE), 3-4 (SINGLE), 4-5 (SINGLE), 5-6 (SINGLE), 6-7 (SINGLE), 7-8 (AROMATIC), 8-9 (SINGLE), 9-10 (SINGLE), 8-11 (AROMATIC), 11-12 (AROMATIC), 12-13 (AROMATIC), 13-14 (AROMATIC), 12-15 (SINGLE), 15-16 (TRIPLE), 6-17 (SINGLE), 17-18 (AROMATIC), 18-19 (AROMATIC), 19-20 (AROMATIC), 20-21 (AROMATIC), 21-22 (AROMATIC), 20-23 (SINGLE), 10-6 (SINGLE), 14-7 (AROMATIC), 22-17 (AROMATIC)","Alkane, Aromatic","0: C, 1: N, 2: C, 3: C, 4: C, 5: C, 6: C, 7: C, 8: C, 9: C, 10: O, 11: C, 12: C, 13: C, 14: C, 15: C, 16: N, 17: C, 18: C, 19: C, 20: C, 21: C, 22: C, 23: F",Non-symmetric,Non-Planar,324.399,973.197,No,1.80411241501588E-16,-95.0678023051859,944,0,0,0
CC[C@H]1[C@H](COC1=O)CC2=CN=CN2C,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,C11H16N2O2,"0-1 (SINGLE), 1-2 (SINGLE), 2-3 (SINGLE), 3-4 (SINGLE), 4-5 (SINGLE), 5-6 (SINGLE), 6-7 (DOUBLE), 3-8 (SINGLE), 8-9 (SINGLE), 9-10 (AROMATIC), 10-11 (AROMATIC), 11-12 (AROMATIC), 12-13 (AROMATIC), 13-14 (SINGLE), 6-2 (SINGLE), 13-9 (AROMATIC)","Alkane, Aromatic","0: C, 1: C, 2: C, 3: C, 4: C, 5: O, 6: C, 7: O, 8: C, 9: C, 10: C, 11: N, 12: C, 13: N, 14: C",Non-symmetric,Non-Planar,208.261,416.522,No,-1.38777878078145E-16,-84.6346651557421,944,0,0,0
CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,C22H25NO6,"0-1 (SINGLE), 1-2 (DOUBLE), 1-3 (SINGLE), 3-4 (SINGLE), 4-5 (SINGLE), 5-6 (SINGLE), 6-7 (SINGLE), 7-8 (AROMATIC), 8-9 (AROMATIC), 9-10 (AROMATIC), 10-11 (AROMATIC), 11-12 (AROMATIC), 12-13 (SINGLE), 13-14 (AROMATIC), 14-15 (AROMATIC), 15-16 (AROMATIC), 16-17 (AROMATIC), 17-18 (DOUBLE), 17-19 (AROMATIC), 19-20 (AROMATIC), 16-21 (SINGLE), 21-22 (SINGLE), 11-23 (SINGLE), 23-24 (SINGLE), 10-25 (SINGLE), 25-26 (SINGLE), 9-27 (SINGLE), 27-28 (SINGLE), 20-4 (SINGLE), 12-7 (AROMATIC), 20-13 (AROMATIC)","Alkane, Aromatic","0: C, 1: C, 2: O, 3: N, 4: C, 5: C, 6: C, 7: C, 8: C, 9: C, 10: C, 11: C, 12: C, 13: C, 14: C, 15: C, 16: C, 17: C, 18: O, 19: C, 20: C, 21: O, 22: C, 23: O, 24: C, 25: O, 26: C, 27: O, 28: C",Non-symmetric,Non-Planar,399.443,1198.329,No,8.32667268468867E-17,-75.9665333977564,472,0,0,0
CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,C29H26ClFN4O4S,"0-1 (SINGLE), 1-2 (DOUBLE), 1-3 (DOUBLE), 1-4 (SINGLE), 4-5 (SINGLE), 5-6 (SINGLE), 6-7 (SINGLE), 7-8 (SINGLE), 8-9 (AROMATIC), 9-10 (AROMATIC), 10-11 (AROMATIC), 11-12 (AROMATIC), 11-13 (SINGLE), 13-14 (AROMATIC), 14-15 (AROMATIC), 15-16 (AROMATIC), 16-17 (AROMATIC), 17-18 (AROMATIC), 16-19 (AROMATIC), 19-20 (AROMATIC), 20-21 (AROMATIC), 21-22 (AROMATIC), 22-23 (SINGLE), 23-24 (SINGLE), 24-25 (AROMATIC), 25-26 (AROMATIC), 26-27 (AROMATIC), 27-28 (AROMATIC), 28-29 (AROMATIC), 27-30 (SINGLE), 30-31 (SINGLE), 31-32 (SINGLE), 32-33 (AROMATIC), 33-34 (AROMATIC), 34-35 (AROMATIC), 35-36 (AROMATIC), 36-37 (AROMATIC), 34-38 (SINGLE), 26-39 (SINGLE), 12-8 (AROMATIC), 18-13 (AROMATIC), 22-15 (AROMATIC), 29-24 (AROMATIC), 37-32 (AROMATIC)","Alkane, Aromatic","0: C, 1: S, 2: O, 3: O, 4: C, 5: C, 6: N, 7: C, 8: C, 9: C, 10: C, 11: C, 12: O, 13: C, 14: C, 15: C, 16: C, 17: C, 18: C, 19: N, 20: C, 21: N, 22: C, 23: N, 24: C, 25: C, 26: C, 27: C, 28: C, 29: C, 30: O, 31: C, 32: C, 33: C, 34: C, 35: C, 36: C, 37: C, 38: F, 39: Cl",Non-symmetric,Planar,581.069,2905.345,No,3.46944695195361E-16,-88.9858175190898,2163,0,0,0
C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,NC(=O)N1c2ccccc2C=Cc2ccccc21,C15H12N2O,"0-1 (AROMATIC), 1-2 (AROMATIC), 2-3 (AROMATIC), 3-4 (AROMATIC), 4-5 (AROMATIC), 4-6 (SINGLE), 6-7 (DOUBLE), 7-8 (SINGLE), 8-9 (AROMATIC), 9-10 (AROMATIC), 10-11 (AROMATIC), 11-12 (AROMATIC), 12-13 (AROMATIC), 13-14 (SINGLE), 14-15 (SINGLE), 15-16 (DOUBLE), 15-17 (SINGLE), 5-0 (AROMATIC), 14-3 (SINGLE), 13-8 (AROMATIC)","Alkane, Alkene, Aromatic","0: C, 1: C, 2: C, 3: C, 4: C, 5: C, 6: C, 7: C, 8: C, 9: C, 10: C, 11: C, 12: C, 13: C, 14: N, 15: C, 16: O, 17: N",Non-symmetric,Non-Planar,236.274,708.822,No,-5.55111512312578E-17,-93.2282011562847,944,0,1,0
CCCC(CCC)C(=O)O,CCCC(CCC)C(=O)O,C8H16O2,"0-1 (SINGLE), 1-2 (SINGLE), 2-3 (SINGLE), 3-4 (SINGLE), 4-5 (SINGLE), 5-6 (SINGLE), 3-7 (SINGLE), 7-8 (DOUBLE), 7-9 (SINGLE)",Alkane,"0: C, 1: C, 2: C, 3: C, 4: C, 5: C, 6: C, 7: C, 8: O, 9: O",Symmetric,Planar,144.214,0,No,-3.88578058618805E-16,-77.8107534636027,0,0,0,0
CC1CN(CCN1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4=C(C=C(C=C4)F)F)F,CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CCN1,C21H18F3N3O3,"0-1 (SINGLE), 1-2 (SINGLE), 2-3 (SINGLE), 3-4 (SINGLE), 4-5 (SINGLE), 5-6 (SINGLE), 3-7 (SINGLE), 7-8 (AROMATIC), 8-9 (AROMATIC), 9-10 (AROMATIC), 10-11 (AROMATIC), 11-12 (AROMATIC), 11-13 (AROMATIC), 13-14 (AROMATIC), 14-15 (AROMATIC), 15-16 (AROMATIC), 16-17 (DOUBLE), 15-18 (SINGLE), 18-19 (DOUBLE), 18-20 (SINGLE), 13-21 (SINGLE), 21-22 (AROMATIC), 22-23 (AROMATIC), 23-24 (AROMATIC), 24-25 (AROMATIC), 25-26 (AROMATIC), 24-27 (SINGLE), 22-28 (SINGLE), 8-29 (SINGLE), 6-1 (SINGLE), 12-7 (AROMATIC), 16-10 (AROMATIC), 26-21 (AROMATIC)","Alkane, Aromatic","0: C, 1: C, 2: C, 3: N, 4: C, 5: C, 6: N, 7: C, 8: C, 9: C, 10: C, 11: C, 12: C, 13: N, 14: C, 15: C, 16: C, 17: O, 18: C, 19: O, 20: O, 21: C, 22: C, 23: C, 24: C, 25: C, 26: C, 27: F, 28: F, 29: F",Non-symmetric,Non-Planar,417.387,1669.548,No,4.02455846426619E-16,-88.499881405027,1416,0,0,0
C1CC1N2C=C(C(=O)C3=CC(=C(C(=C32)Cl)N4CCC(C4)N)F)C(=O)O,NC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1,C17H17ClFN3O3,"0-1 (SINGLE), 1-2 (SINGLE), 2-3 (SINGLE), 3-4 (AROMATIC), 4-5 (AROMATIC), 5-6 (AROMATIC), 6-7 (DOUBLE), 6-8 (AROMATIC), 8-9 (AROMATIC), 9-10 (AROMATIC), 10-11 (AROMATIC), 11-12 (AROMATIC), 12-13 (AROMATIC), 12-14 (SINGLE), 11-15 (SINGLE), 15-16 (SINGLE), 16-17 (SINGLE), 17-18 (SINGLE), 18-19 (SINGLE), 18-20 (SINGLE), 10-21 (SINGLE), 5-22 (SINGLE), 22-23 (DOUBLE), 22-24 (SINGLE), 2-0 (SINGLE), 13-3 (AROMATIC), 13-8 (AROMATIC), 19-15 (SINGLE)","Alkane, Aromatic","0: C, 1: C, 2: C, 3: N, 4: C, 5: C, 6: C, 7: O, 8: C, 9: C, 10: C, 11: C, 12: C, 13: C, 14: Cl, 15: N, 16: C, 17: C, 18: C, 19: C, 20: N, 21: F, 22: C, 23: O, 24: O",Non-symmetric,Non-Planar,365.792,1463.168,No,-5.55111512312578E-16,-86.8777884699501,1416,0,1,0
CN1CC(C2=C(C1)C(=CC=C2)N)C3=CC=CC=C3,CN1Cc2c(N)cccc2C(c2ccccc2)C1,C16H18N2,"0-1 (SINGLE), 1-2 (SINGLE), 2-3 (SINGLE), 3-4 (SINGLE), 4-5 (AROMATIC), 5-6 (SINGLE), 5-7 (AROMATIC), 7-8 (AROMATIC), 8-9 (AROMATIC), 9-10 (AROMATIC), 7-11 (SINGLE), 3-12 (SINGLE), 12-13 (AROMATIC), 13-14 (AROMATIC), 14-15 (AROMATIC), 15-16 (AROMATIC), 16-17 (AROMATIC), 6-1 (SINGLE), 10-4 (AROMATIC), 17-12 (AROMATIC)","Alkane, Aromatic","0: C, 1: N, 2: C, 3: C, 4: C, 5: C, 6: C, 7: C, 8: C, 9: C, 10: C, 11: N, 12: C, 13: C, 14: C, 15: C, 16: C, 17: C",Non-symmetric,Non-Planar,238.334,715.002,No,3.19189119579732E-16,-100,944,0,1,0
C[C@@H]1CC(=O)C=C([C@]12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,C17H17ClO6,"0-1 (SINGLE), 1-2 (SINGLE), 2-3 (SINGLE), 3-4 (DOUBLE), 3-5 (SINGLE), 5-6 (DOUBLE), 6-7 (SINGLE), 7-8 (SINGLE), 8-9 (DOUBLE), 8-10 (SINGLE), 10-11 (AROMATIC), 11-12 (SINGLE), 11-13 (AROMATIC), 13-14 (AROMATIC), 14-15 (AROMATIC), 15-16 (AROMATIC), 16-17 (SINGLE), 17-18 (SINGLE), 14-19 (SINGLE), 19-20 (SINGLE), 13-21 (SINGLE), 6-22 (SINGLE), 22-23 (SINGLE), 7-1 (SINGLE), 12-7 (SINGLE), 16-10 (AROMATIC)","Alkane, Alkene, Aromatic","0: C, 1: C, 2: C, 3: C, 4: O, 5: C, 6: C, 7: C, 8: C, 9: O, 10: C, 11: C, 12: O, 13: C, 14: C, 15: C, 16: C, 17: O, 18: C, 19: O, 20: C, 21: Cl, 22: O, 23: C",Non-symmetric,Non-Planar,352.77,1058.31,No,-5.55111512312578E-17,-72.7868015987754,0,0,0,0
CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,C15H13FO2,"0-1 (SINGLE), 1-2 (SINGLE), 2-3 (AROMATIC), 3-4 (AROMATIC), 4-5 (AROMATIC), 5-6 (AROMATIC), 6-7 (AROMATIC), 5-8 (SINGLE), 8-9 (AROMATIC), 9-10 (AROMATIC), 10-11 (AROMATIC), 11-12 (AROMATIC), 12-13 (AROMATIC), 4-14 (SINGLE), 1-15 (SINGLE), 15-16 (DOUBLE), 15-17 (SINGLE), 7-2 (AROMATIC), 13-8 (AROMATIC)","Alkane, Aromatic","0: C, 1: C, 2: C, 3: C, 4: C, 5: C, 6: C, 7: C, 8: C, 9: C, 10: C, 11: C, 12: C, 13: C, 14: F, 15: C, 16: O, 17: O",Non-symmetric,Planar,244.265,488.53,No,-5.55111512312578E-17,-86.8994739320001,0,0,0,0
CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,C12H15ClO3,"0-1 (SINGLE), 1-2 (SINGLE), 2-3 (SINGLE), 3-4 (DOUBLE), 3-5 (SINGLE), 5-6 (SINGLE), 5-7 (SINGLE), 5-8 (SINGLE), 8-9 (SINGLE), 9-10 (AROMATIC), 10-11 (AROMATIC), 11-12 (AROMATIC), 12-13 (AROMATIC), 13-14 (AROMATIC), 12-15 (SINGLE), 14-9 (AROMATIC)","Alkane, Aromatic","0: C, 1: C, 2: O, 3: C, 4: O, 5: C, 6: C, 7: C, 8: O, 9: C, 10: C, 11: C, 12: C, 13: C, 14: C, 15: Cl",Non-symmetric,Planar,242.702,242.702,No,-1.38777878078145E-17,-80.222659887434,0,0,0,0
CC(=O)NC1=CC=C(C=C1)O,CC(=O)Nc1ccc(O)cc1,C8H9NO2,"0-1 (SINGLE), 1-2 (DOUBLE), 1-3 (SINGLE), 3-4 (SINGLE), 4-5 (AROMATIC), 5-6 (AROMATIC), 6-7 (AROMATIC), 7-8 (AROMATIC), 8-9 (AROMATIC), 7-10 (SINGLE), 9-4 (AROMATIC)","Alkane, Aromatic","0: C, 1: C, 2: O, 3: N, 4: C, 5: C, 6: C, 7: C, 8: C, 9: C, 10: O",Non-symmetric,Planar,151.165,151.165,No,1.66533453693773E-16,-78.8310786226971,472,0,0,0
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Cn1c(=O)c2c(ncn2C)n(C)c1=O,C8H10N4O2,"0-1 (SINGLE), 1-2 (AROMATIC), 2-3 (AROMATIC), 3-4 (AROMATIC), 4-5 (AROMATIC), 5-6 (AROMATIC), 6-7 (DOUBLE), 6-8 (AROMATIC), 8-9 (AROMATIC), 9-10 (DOUBLE), 9-11 (AROMATIC), 11-12 (SINGLE), 8-13 (SINGLE), 5-1 (AROMATIC), 11-4 (AROMATIC)",Aromatic,"0: C, 1: N, 2: C, 3: N, 4: C, 5: C, 6: C, 7: O, 8: N, 9: C, 10: O, 11: N, 12: C, 13: C",Non-symmetric,Planar,194.194,388.388,No,-1.52655665885959E-16,-83.5216330061691,1888,0,0,0
CCOC1=CC=C(C=C1)NC(=O)C,CCOc1ccc(NC(C)=O)cc1,C10H13NO2,"0-1 (SINGLE), 1-2 (SINGLE), 2-3 (SINGLE), 3-4 (AROMATIC), 4-5 (AROMATIC), 5-6 (AROMATIC), 6-7 (AROMATIC), 7-8 (AROMATIC), 6-9 (SINGLE), 9-10 (SINGLE), 10-11 (DOUBLE), 10-12 (SINGLE), 8-3 (AROMATIC)","Alkane, Aromatic","0: C, 1: C, 2: O, 3: C, 4: C, 5: C, 6: C, 7: C, 8: C, 9: N, 10: C, 11: O, 12: C",Non-symmetric,Planar,179.219,179.219,No,6.93889390390723E-17,-82.1447502775933,472,0,0,0
CC\1=C(C2=C(/C1=C\C3=CC=C(C=C3)S(=O)C)C=CC(=C2)F)CC(=O)O,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc(S(C)=O)cc1,C20H17FO3S,"0-1 (SINGLE), 1-2 (DOUBLE), 2-3 (SINGLE), 3-4 (AROMATIC), 4-5 (SINGLE), 5-6 (DOUBLE), 6-7 (SINGLE), 7-8 (AROMATIC), 8-9 (AROMATIC), 9-10 (AROMATIC), 10-11 (AROMATIC), 11-12 (AROMATIC), 10-13 (SINGLE), 13-14 (DOUBLE), 13-15 (SINGLE), 4-16 (AROMATIC), 16-17 (AROMATIC), 17-18 (AROMATIC), 18-19 (AROMATIC), 18-20 (SINGLE), 2-21 (SINGLE), 21-22 (SINGLE), 22-23 (DOUBLE), 22-24 (SINGLE), 5-1 (SINGLE), 19-3 (AROMATIC), 12-7 (AROMATIC)","Alkane, Alkene, Aromatic","0: C, 1: C, 2: C, 3: C, 4: C, 5: C, 6: C, 7: C, 8: C, 9: C, 10: C, 11: C, 12: C, 13: S, 14: O, 15: C, 16: C, 17: C, 18: C, 19: C, 20: F, 21: C, 22: C, 23: O, 24: O",Non-symmetric,Planar,356.418,1069.254,No,-2.77555756156289E-16,-86.532666700335,275,0,0,0
CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,C16H14O3,"0-1 (SINGLE), 1-2 (SINGLE), 2-3 (AROMATIC), 3-4 (AROMATIC), 4-5 (AROMATIC), 5-6 (AROMATIC), 6-7 (AROMATIC), 4-8 (SINGLE), 8-9 (DOUBLE), 8-10 (SINGLE), 10-11 (AROMATIC), 11-12 (AROMATIC), 12-13 (AROMATIC), 13-14 (AROMATIC), 14-15 (AROMATIC), 1-16 (SINGLE), 16-17 (DOUBLE), 16-18 (SINGLE), 7-2 (AROMATIC), 15-10 (AROMATIC)","Alkane, Aromatic","0: C, 1: C, 2: C, 3: C, 4: C, 5: C, 6: C, 7: C, 8: C, 9: O, 10: C, 11: C, 12: C, 13: C, 14: C, 15: C, 16: C, 17: O, 18: O",Non-symmetric,Planar,254.285,508.57,No,0,-81.1235424818609,0,0,0,0
C1C(=O)NC(=O)N1/N=C/C2=CC=C(O2)[N+](=O)[O-],O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,C8H6N4O5,"0-1 (SINGLE), 1-2 (DOUBLE), 1-3 (SINGLE), 3-4 (SINGLE), 4-5 (DOUBLE), 4-6 (SINGLE), 6-7 (SINGLE), 7-8 (DOUBLE), 8-9 (SINGLE), 9-10 (AROMATIC), 10-11 (AROMATIC), 11-12 (AROMATIC), 12-13 (AROMATIC), 12-14 (SINGLE), 14-15 (DOUBLE), 14-16 (SINGLE), 6-0 (SINGLE), 13-9 (AROMATIC)","Alkane, Aromatic","0: C, 1: C, 2: O, 3: N, 4: C, 5: O, 6: N, 7: N, 8: C, 9: C, 10: C, 11: C, 12: C, 13: O, 14: N, 15: O, 16: O",Non-symmetric,Non-Planar,238.159,476.318,No,8.32667268468867E-17,-66.4089956709593,1888,1,0,0
C1=CC=C(C=C1)Br,Brc1ccccc1,C6H5Br,"0-1 (AROMATIC), 1-2 (AROMATIC), 2-3 (AROMATIC), 3-4 (AROMATIC), 4-5 (AROMATIC), 3-6 (SINGLE), 5-0 (AROMATIC)",Aromatic,"0: C, 1: C, 2: C, 3: C, 4: C, 5: C, 6: Br",Non-symmetric,Planar,157.01,157.01,No,3.46944695195361E-17,-100,0,0,0,0
C1=CC(=CN=C1)C(=O)O,O=C(O)c1cccnc1,C6H5NO2,"0-1 (AROMATIC), 1-2 (AROMATIC), 2-3 (AROMATIC), 3-4 (AROMATIC), 4-5 (AROMATIC), 2-6 (SINGLE), 6-7 (DOUBLE), 6-8 (SINGLE), 5-0 (AROMATIC)","Alkane, Aromatic","0: C, 1: C, 2: C, 3: C, 4: N, 5: C, 6: C, 7: O, 8: O",Non-symmetric,Planar,123.111,123.111,No,-1.11022302462516E-16,-74.0071967573978,472,0,0,0
C(=C(Cl)Cl)Cl,ClC=C(Cl)Cl,C2HCl3,"0-1 (DOUBLE), 1-2 (SINGLE), 1-3 (SINGLE), 0-4 (SINGLE)",Alkene,"0: C, 1: C, 2: Cl, 3: Cl, 4: Cl",Non-symmetric,Planar,131.389,0,No,-9.71445146547012E-17,-100,0,0,0,0
C(CCl)Cl,ClCCCl,C2H4Cl2,"0-1 (SINGLE), 1-2 (SINGLE), 0-3 (SINGLE)",Alkane,"0: C, 1: C, 2: Cl, 3: Cl",Non-symmetric,Planar,98.96,0,No,0,-100,0,0,0,0
CC1CN(CCN1)C2=C(C(=C3C(=C2)N(C=C(C3=O)C(=O)O)C4CC4)C)F,Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1,C19H22FN3O3,"0-1 (SINGLE), 1-2 (SINGLE), 2-3 (SINGLE), 3-4 (SINGLE), 4-5 (SINGLE), 5-6 (SINGLE), 3-7 (SINGLE), 7-8 (AROMATIC), 8-9 (AROMATIC), 9-10 (AROMATIC), 10-11 (AROMATIC), 11-12 (AROMATIC), 11-13 (AROMATIC), 13-14 (AROMATIC), 14-15 (AROMATIC), 15-16 (AROMATIC), 16-17 (DOUBLE), 15-18 (SINGLE), 18-19 (DOUBLE), 18-20 (SINGLE), 13-21 (SINGLE), 21-22 (SINGLE), 22-23 (SINGLE), 9-24 (SINGLE), 8-25 (SINGLE), 6-1 (SINGLE), 12-7 (AROMATIC), 16-10 (AROMATIC), 23-21 (SINGLE)","Alkane, Aromatic","0: C, 1: C, 2: C, 3: N, 4: C, 5: C, 6: N, 7: C, 8: C, 9: C, 10: C, 11: C, 12: C, 13: N, 14: C, 15: C, 16: C, 17: O, 18: C, 19: O, 20: O, 21: C, 22: C, 23: C, 24: C, 25: F",Non-symmetric,Non-Planar,359.401,1437.604,No,3.7470027081099E-16,-86.6444445062757,1416,0,0,0
